Mod,likes,downloads,time,unique_dl,views
69826,117,1738,41,1587,14505
62585,48,820,260,726,16395
66146,286,3137,161,2311,13229
27617,32,683,1063,428,4701
34989,23,634,924,462,13066
12577,404,18822,1329,10403,101605
70145,1,21,31,13,1214
69900,25,275,39,235,3424
22643,120,1799,1168,1244,38555
3319,34,1826,1419,1260,16000
42772,39,891,767,750,17382
11733,14,332,1338,149,18104
36754,70,1102,881,882,9807
50058,439,8587,649,6515,101940
36723,7,163,881,150,9452
1581,433,12384,1434,8532,126856
6365,182,8788,1383,5736,53199
35665,3021,77825,907,54309,391366
13241,1223,36075,1320,25795,196365
59056,2783,53735,380,42319,234326
14039,1725,79801,1308,42155,287054
60851,6,62,317,50,1470
63228,68,1233,244,779,12201
61084,17,202,308,177,4859
37681,272,4402,854,3684,53436
24500,31,611,1132,427,15085
6061,40,2443,1386,1579,55169
48736,5,110,688,95,5029
44883,223,4717,741,3615,46637
12029,27,915,1335,534,13569
54332,145,1869,524,1550,18434
6570,23,659,1380,407,17615
18172,1774,40826,1244,28720,129074
68237,87,1570,95,1291,27448
8450,40,794,1359,489,7465
15751,311,8727,1285,6287,135191
13784,118,4521,1312,2839,34139
28569,72,1696,1045,1110,9897
60132,4,64,344,42,3641
11062,660,13982,1344,9132,39266
17281,10,377,1260,285,6660
53798,4134,65793,542,50356,242248
13449,73,3332,1317,2016,16574
5705,1533,35674,1391,21514,102689
5979,32,1190,1387,840,34662
9654,95,2586,1354,1718,38388
6645,38,724,1379,469,15388
38703,26,698,828,443,6915
12044,5,320,1335,178,14267
23443,11,301,1154,212,9770
53941,6,50,537,39,3992
16188,520,14198,1278,9470,74562
35085,12,174,922,113,6640
57573,11,157,429,118,3973
11772,53,2154,1338,1109,11234
57856,299,3564,419,2866,42454
64590,105,761,204,557,6887
21347,0,17,1187,16,4336
49228,29,1144,672,779,17254
51184,279,2916,621,2314,24815
13857,9,264,1311,156,8704
2120,5,106,1430,65,14307
17285,206,2605,1260,1922,19579
66518,78,999,151,860,10375
54158,8,73,530,59,5251
31323,1,118,993,74,4778
52167,928,13899,592,10786,52579
59684,14,194,359,161,22326
48339,329,4836,699,3875,63298
37481,9121,225389,860,182877,694655
62673,49,628,257,507,11716
53342,35,527,555,429,10277
56961,2521,41526,444,32023,154821
69152,5,67,63,56,1883
3371,35,1097,1419,749,33330
48554,4936,88609,692,58561,723718
14275,119,2667,1305,2107,32728
61162,15,115,305,91,4975
30705,137,4631,1003,2891,27696
20222,5,113,1207,80,6959
32110,42,1026,981,703,14331
69945,0,24,37,21,1886
13,116,4262,1449,2462,52325
58940,6,68,384,44,3671
60153,76,1475,343,1160,20273
18931,53,1199,1230,983,30820
8357,35,626,1360,403,5835
62541,4,27,261,23,1866
51124,90,1316,622,1138,12598
2069,228,13781,1430,9947,102847
22334,6,325,1173,241,17721
18515,3,164,1237,112,6023
54229,496,5475,527,4660,42872
20642,29,652,1200,476,9651
15934,23,693,1282,473,12825
36441,8,462,887,369,12743
62617,36,382,259,305,5605
30914,60,1326,999,1004,33442
21385,8,306,1186,223,9360
14395,29,793,1303,532,25710
36136,33,775,895,684,10334
58258,29,570,406,443,10448
3366,79,4515,1419,3112,48864
35432,93,1842,913,1383,19963
7391,106,5194,1369,3716,75862
28093,1199,26904,1054,17406,137188
48387,859,10742,698,7941,107226
61076,61,953,308,819,14016
64835,259,5678,196,4678,42041
62066,20,318,276,295,13949
35635,148,2287,909,1733,37582
61579,48,1309,292,1017,6840
62914,3,49,252,39,1857
32656,583,10317,972,7666,88268
1233,962,34245,1437,23312,328403
15280,80,1947,1292,1330,14859
8353,76,3614,1360,2444,58741
2596,395,5308,1426,3491,43512
128,412,19385,1447,12778,108746
61742,13,187,287,146,3032
49679,17,358,660,271,14399
31022,4,65,997,48,8188
52270,10,219,589,168,10186
62017,265,4886,277,4092,31997
13218,342,9807,1321,5729,73182
36318,1070,30768,890,20814,105083
42034,59,1244,779,965,14087
30328,96,2385,1011,2064,47014
6848,57,1923,1376,1356,17692
22721,13,740,1166,447,10182
29133,194,7404,1034,4908,50189
62798,20,332,254,245,5002
32636,18,518,972,326,10386
10956,108,3258,1345,2025,35466
27306,73,2396,1071,1859,22734
6586,7,274,1379,166,3773
7480,66,2922,1368,2086,34159
11012,33,1311,1344,758,12599
3891,54,1932,1413,1422,34665
23129,198,4227,1159,2828,49250
2840,213,7843,1424,5705,60603
44517,75,1164,745,943,12513
6809,12,397,1377,253,39024
12490,0,0,1330,0,6968
50592,0,8,636,6,1309
6602,109,2441,1379,1742,24566
38839,1946,28954,826,22276,106980
28859,2,211,1040,139,13202
31581,7577,154029,981,119801,541745
12288,6,217,1333,117,7794
39656,192,4480,816,3643,51154
34394,28,579,939,449,8812
32175,11,309,980,239,36018
62714,0,27,257,27,1340
17705,79,3330,1252,2340,33661
17399,132,2350,1258,1553,9145
66731,53,687,143,573,8387
60573,15,85,327,76,3891
67850,3,102,107,74,4222
35688,96,2985,908,1962,28259
33417,23,346,958,237,5850
6474,15,454,1381,332,12337
49379,18,200,667,150,6352
8876,5,142,1357,91,5054
55353,171,2637,489,1991,27342
38213,7,224,841,175,10861
69571,13,245,50,201,5053
2106,3,198,1430,141,15197
28356,11,506,1049,321,13178
28057,60,870,1055,559,8708
38811,121,5307,826,3949,40865
57179,6730,132735,438,96341,586660
6267,9,84,1384,53,2459
12795,122,3772,1326,2570,68128
7369,10,626,1369,452,6657
34399,5570,111516,938,66736,219136
24328,195,4928,1136,2660,19692
66235,7,218,159,161,9373
37026,1375,23486,873,17432,210786
70636,2,36,14,39,2548
55831,26,313,477,242,9281
35891,39,1362,903,1002,10170
14803,17,415,1298,317,25323
29527,116,4521,1027,3134,26930
63324,55,467,241,357,7390
19068,1909,63246,1228,44210,204858
69078,386,8433,66,7030,75338
65659,15,188,175,141,7994
58207,28,192,409,157,7299
67312,45,414,124,301,3580
55697,4,109,480,90,14255
68037,75,886,101,643,15536
66962,24,495,135,381,14617
55111,15,162,496,144,7377
61209,138,1325,303,955,9659
65307,33,520,184,433,21435
52139,27,251,593,217,5776
23970,8,153,1144,115,4493
62873,10,154,253,112,7234
23243,173,3650,1158,2497,63463
19105,21,1086,1227,829,25339
34862,133,2464,927,1800,24111
46468,0,18,724,15,3134
8615,52,1603,1358,932,12506
13153,23,1061,1321,585,14212
11377,59,2189,1342,1359,47855
12397,36,1203,1331,693,9526
17297,5,102,1259,78,6105
58640,17,307,393,234,8094
19113,27,610,1227,534,6607
62164,29,373,272,254,5970
12035,315,6860,1335,4392,50430
30962,110,3370,994,2395,42730
46453,40,655,724,518,22006
61925,14,175,281,114,3771
8097,48,1123,1360,767,13630
38559,165,3338,831,2766,29059
28854,8,356,1040,161,11936
3408,11,225,1418,139,7504
7712,1510,33625,1365,22369,190236
9092,9,193,1356,138,9329
11455,36,1507,1341,939,19903
14170,179,6068,1307,4152,37685
54807,28,470,505,327,11064
17839,5,127,1249,101,6773
5441,167,20698,1393,13770,69924
59499,159,2760,365,2086,28226
37817,11,658,851,505,14620
14109,11,368,1307,233,17433
51667,0,471,607,421,10432
3516,10,573,1417,381,23489
23128,37,795,1159,555,11012
14299,36,667,1305,451,12050
7442,3,128,1368,86,22843
51904,216,2762,601,2235,24347
10404,433,15707,1349,8530,52642
1982,36,1018,1431,707,33974
15637,51,1689,1287,1079,22035
15510,47,1651,1289,1135,10098
63570,7,37,235,35,2746
16977,1763,58224,1265,41185,400459
21166,271,8692,1190,5996,36778
38219,76,1386,840,1064,18294
57208,35,461,438,366,10372
24890,444,8700,1123,5941,50346
51589,51,598,609,508,10731
28883,5,131,1039,63,15436
16478,127,2562,1273,1707,31678
16338,3,205,1276,134,7152
22254,47,690,1174,456,9856
3772,38,917,1415,685,13848
1517,3,235,1435,156,18066
36836,52,598,879,481,11057
22571,18,568,1169,446,14430
23484,4,167,1154,114,6529
5291,11,267,1395,179,11235
67,12,942,1448,711,50744
47775,23,297,706,243,11680
50775,8,278,632,201,6913
7290,24,752,1370,584,8721
10889,49,750,1345,512,10577
25345,86,1056,1114,633,11212
12383,780,22826,1332,14928,123747
36172,34,711,895,625,31487
54851,145,1248,504,1009,14008
33805,2,124,951,74,36944
22291,97,1943,1174,1629,36116
2052,260,4836,1431,3370,70389
6250,179,7290,1384,4948,52199
35952,93,5311,901,3442,37617
49501,42,590,665,438,23409
48488,75,950,696,733,21166
65393,875,19643,180,15523,118283
14206,3,396,1306,300,16688
61037,53,413,310,346,6811
23405,17,581,1155,473,11673
66491,3,84,152,63,9020
45059,10,282,739,205,8220
52737,62,1117,572,881,14013
67523,5,54,118,38,2075
6231,7,145,1384,96,19766
18523,61,2221,1237,1659,10535
4435,22,1361,1407,911,32785
64745,2,62,199,45,4573
7264,25,359,1370,217,6634
37742,189,3456,853,2584,49383
67019,17,155,134,118,3186
61982,35,638,279,504,14523
27872,172,4822,1058,3420,46207
30522,596,10679,1006,6661,73489
