Mod,likes,downloads,time,unique_dl,views,dl_dif
9877,56,937,3169,734,7195,203
33602,18,558,1934,451,9475,107
6096,4,142,3391,112,4270,30
9315,78,2364,3200,1828,22075,536
32325,2,189,1986,165,5484,24
7552,17,343,3321,269,5567,74
28767,65,2334,2166,1828,10597,506
43119,7,169,1065,119,7783,50
28443,50,1790,2186,1321,11219,469
9519,36,772,3186,618,20105,154
9065,14,575,3215,471,6814,104
27009,153,14235,2269,9701,35775,4534
34215,6,164,1914,139,4403,25
23295,75,3203,2437,2170,26398,1033
30326,8,174,2087,132,2367,42
21762,11,914,2514,703,10407,211
26029,28,1326,2311,1059,7576,267
24174,53,2537,2395,1825,47304,712
13692,207,14721,2947,11330,65875,3391
5261,5,107,3432,75,4317,32
8907,5,94,3224,74,1866,20
29492,5,112,2129,91,5435,21
30331,17,368,2087,291,9020,77
2243,67,4867,3521,3601,64353,1266
25061,6,171,2355,144,2567,27
1512,7,169,3611,128,5061,41
32870,18,1271,1962,1013,14721,258
15056,56,2021,2850,1461,12688,560
14192,326,9482,2910,7262,62735,2220
5538,2,174,3418,145,10614,29
7869,21,408,3298,336,25574,72
12567,7,453,3029,375,11192,78
6373,10,223,3380,169,3324,54
5614,27,2541,3415,1688,40659,853
12116,17,271,3054,218,5777,53
21736,19,1011,2516,798,20453,213
8945,30,992,3222,736,27675,256
23894,0,9,2409,7,2282,2
30439,36,1432,2081,1057,16026,375
31435,5,247,2032,200,12216,47
42215,7,374,1276,243,5673,131
11208,678,36421,3099,26171,155018,10250
5748,6,364,3407,284,15575,80
14343,120,3498,2897,2630,19166,868
6910,10,245,3357,188,4598,57
29090,1585,165263,2150,116512,445939,48751
27946,1,33,2213,29,3309,4
5976,45,1993,3396,1324,6757,669
20849,67,1221,2568,944,10200,277
25604,285,9370,2331,6793,46956,2577
8643,13,419,3240,311,5797,108
8326,5,134,3260,107,5198,27
35185,8,633,1864,496,8088,137
19522,32,1135,2639,974,14603,161
11362,309,17233,3092,12005,52698,5228
