Mod,likes,downloads,time,unique_dl,views,dl_dif
1925,4,327,1955,190,9390,137
1168,176,4129,2164,2868,39426,1261
387,366,5503,2296,2965,108530,2538
908,44,2075,2204,1456,31067,619
596,125,7940,2268,4689,101030,3251
182,44,732,2319,520,104795,212
4199,89,726,577,635,20025,91
4019,12,263,821,84,6102,179
731,32,1380,2247,620,53333,760
1937,20,519,1950,294,23886,225
1389,38,1401,2106,882,26082,519
318,12,65,2304,36,34934,29
2009,515,13827,1912,8797,101651,5030
3012,166,2401,1709,1603,24031,798
764,2045,36875,2239,21953,201778,14922
1349,96,4039,2123,2436,49155,1603
3294,157,5640,1596,2029,61233,3611
2033,704,29055,1906,10475,67267,18580
113,44,590,2324,457,39426,133
2981,1348,28657,1729,11456,100796,17201
1219,66,2011,2152,1440,74454,571
2141,67,2089,1851,1310,19295,779
1102,166,5725,2175,3578,51556,2147
1575,22,606,2061,371,17899,235
4266,35,405,451,291,16115,114
4161,49,505,630,362,19722,143
3405,623,11083,1466,5884,62023,5199
1007,62,3474,2192,1677,48884,1797
536,24,817,2276,439,20277,378
1712,180,8413,2020,5025,43905,3388
585,39,1518,2269,1177,20861,341
671,1056,34556,2257,21081,163469,13475
3627,19,240,1229,176,7404,64
4321,12,190,329,130,3641,60
499,11,1207,2282,936,24682,271
265,3,118,2310,55,9183,63
1359,204,5456,2120,3579,59135,1877
1441,41,1700,2093,1175,17395,525
1549,2593,44955,2069,23078,205832,21877
577,11271,409406,2270,170195,1526823,239211
3666,19,225,1171,201,5411,24
1558,199,7268,2066,2945,122184,4323
603,55,1914,2267,1452,62793,462
1991,81,1545,1918,1123,28995,422
519,274,9612,2280,6830,65308,2782
3495,99,2235,1391,1531,29926,704
3327,57,1241,1552,1066,29103,175
4237,40,509,515,452,11691,57
775,358,14954,2234,9210,80242,5744
3477,135,1851,1413,1323,18800,528
1472,813,18420,2089,9706,86360,8714
1076,365,12649,2179,6172,83803,6477
3748,325,6879,1062,4018,41117,2861
1700,76,1214,2023,771,20165,443
500,82,3307,2282,1336,18945,1971
1715,1864,47894,2020,29190,169839,18704
3692,39,654,1135,346,18033,308
1047,48,1809,2185,1060,37868,749
1997,191,6224,1916,4078,49315,2146
3210,1135,16530,1631,10301,132967,6229
1780,1969,51641,2008,27728,149646,23913
4170,142,2133,619,1474,24580,659
1256,69,7177,2142,1125,44203,6052
3934,31,759,907,468,17465,291
4268,3,38,448,28,1919,10
1324,795,30707,2129,17328,133855,13379
4353,53,620,244,428,5751,192
3897,1232,17892,933,12689,99298,5203
1428,385,13893,2096,8494,124843,5399
736,0,756,2245,453,12408,303
1400,42,4522,2103,852,17868,3670
1063,222,10407,2182,6877,181337,3530
1751,20,774,2013,542,31178,232
2081,133,3951,1880,2550,33699,1401
1280,307,6009,2137,4354,50383,1655
2017,8,506,1911,327,18291,179
726,56,1406,2248,875,19237,531
1952,99,6272,1943,2472,41360,3800
814,692,38299,2224,17035,250753,21264
2107,107,1486,1869,947,20701,539
399,119,5397,2296,839,167577,4558
1565,72,2106,2063,1212,30909,894
3120,41,1501,1665,850,27090,651
3850,13,212,959,126,8219,86
3400,324,3800,1469,2634,28005,1166
11,376,9669,2330,3914,151515,5755
1055,1472,143746,2184,28972,495654,114774
4144,51,2575,651,458,21359,2117
1689,87,2313,2025,1450,21793,863
1853,34,1038,1984,647,21191,391
1756,144,2939,2012,2050,32997,889
4293,29,452,423,340,3637,112
496,113,4101,2282,2496,100182,1605
4394,54,613,103,552,9037,61
2042,264,7280,1903,4596,62446,2684
1601,1823,43499,2054,21903,331073,21596
1170,137,11661,2163,4918,64101,6743
816,12528,327489,2224,155696,968776,171793
3057,544,13559,1693,6727,118394,6832
842,213,15543,2218,8861,106814,6682
3776,39,554,1050,455,16298,99
3399,215,3191,1470,2013,21506,1178
1921,101,3576,1958,2459,36459,1117
1642,27,2020,2038,1400,21643,620
2741,114,4288,1805,2172,40499,2116
3797,132,1686,1019,1110,35102,576
3626,440,12062,1230,6719,91574,5343
2116,8,238,1864,151,14926,87
772,104,6860,2237,2796,50625,4064
70,50,323,2327,189,50177,134
3553,506,9013,1341,7143,98331,1870
2855,84,3917,1776,1935,36489,1982
1744,26,647,2014,447,14883,200
967,30,1069,2196,492,11093,577
891,89,3171,2206,1940,19540,1231
302,7,75,2306,53,32925,22
1606,1740,30667,2052,20620,107891,10047
1762,2568,43519,2011,26045,169245,17474
3754,541,9115,1060,6959,53432,2156
1465,13,953,2090,532,28109,421
2056,497,15393,1892,7869,45568,7524
283,3,61,2308,25,13465,36
3774,52,754,1052,560,12432,194
1643,30,2039,2038,1244,20074,795
191,16,182,2318,118,34408,64
3833,46,958,977,625,27266,333
2871,70,2990,1771,1620,39342,1370
4034,820,14099,775,5649,59795,8450
4112,40,493,695,283,15741,210
811,138,3502,2225,2236,23298,1266
1385,214,7729,2107,5086,98188,2643
3744,7,55,1063,49,2994,6
3551,52,768,1342,611,13287,157
613,168,6512,2265,3922,89860,2590
3767,115,2896,1055,1280,29081,1616
982,105,5187,2195,3548,66716,1639
8,955,12598,2330,9056,89088,3542
1380,152,14198,2110,5870,92320,8328
3658,39,576,1183,498,15573,78
2036,40,1013,1905,783,13689,230
719,57,1152,2249,879,24057,273
