Mod,likes,downloads,time,unique_dl,views,dl_dif
1274,19,614,3747,486,11061,128
28771,5,173,2166,149,4503,24
23363,298,5218,2433,4112,18038,1106
22189,71,1604,2491,1424,16034,180
42267,564,8927,1135,7092,65577,1835
43297,29,250,414,202,3503,48
43514,1,13,256,9,874,4
27057,6,89,2267,77,2436,12
1610,311,5761,3583,4824,50877,937
42496,5,55,933,47,2352,8
30696,463,8682,2066,7328,30507,1354
42022,13,227,1316,185,4819,42
14352,3,105,2897,96,6796,9
42312,1,79,1101,65,1941,14
6031,50,1209,3393,1004,19867,205
43383,18,598,336,274,3952,324
42095,4,132,1304,119,3027,13
42354,26,429,1049,324,5194,105
43696,5,69,155,45,958,24
43305,17,292,405,196,5233,96
34480,8,146,1903,127,3600,19
13969,40,890,2923,735,7374,155
1650,2,90,3572,71,3158,19
7407,8,173,3329,155,3039,18
42903,95,4982,733,2077,43149,2905
21837,33,705,2511,605,4063,100
43040,8,127,646,89,4543,38
6028,5,106,3394,91,2267,15
6589,14,809,3371,501,10970,308
576,10,203,4309,178,8152,25
33334,7,123,1945,95,3169,28
29281,27,369,2141,318,7102,51
1682,1,58,3565,52,1789,6
37130,11,138,1742,124,3526,14
6169,16,480,3389,432,7254,48
37488,20,288,1719,232,3540,56
43775,0,13,113,9,745,4
26077,1,95,2310,89,2379,6
7919,8,587,3292,378,3395,209
9688,4,205,3177,187,7302,18
3970,0,773,3487,332,2504,441
42858,126,1515,739,1268,14203,247
38480,3,71,1652,60,3283,11
42206,8,126,1199,92,3015,34
31840,8,152,2010,128,3591,24
42117,291,4454,1297,4009,19086,445
43575,16,195,221,177,3002,18
25299,45,1065,2345,927,11856,138
43380,237,4248,339,3530,21951,718
43089,8,78,601,61,2071,17
982,6,171,3843,161,6945,10
43702,3,35,153,28,866,7
36810,37,590,1762,469,6088,121
43119,112,1042,551,779,6558,263
43104,29,304,584,233,4382,71
43577,4,53,219,39,913,14
43347,16,144,365,111,3137,33
43733,14,123,138,96,1241,27
43065,117,1386,623,932,13224,454
42484,2,57,947,40,1355,17
39139,23,427,1609,334,5115,93
35114,7,236,1868,203,8728,33
28858,84,2884,2161,2406,20390,478
8718,39,1017,3235,707,11142,310
43398,3,57,325,43,1262,14
26564,6,490,2287,401,7587,89
42812,44,345,759,287,8369,58
23388,1164,19815,2432,16077,103246,3738
29461,126,5462,2130,4689,19158,773
1451,3,137,3634,117,4554,20
1957,18,1283,3526,1017,11531,266
3882,1177,22945,3490,18578,186110,4367
7967,9,140,3287,131,2673,9
1512,6,199,3611,183,5601,16
7064,26,1667,3347,811,9346,856
43581,2,86,217,56,1924,30
43304,6,97,410,69,2604,28
43534,2,24,246,22,1010,2
15175,157,2944,2844,2448,14298,496
1647,5,58,3574,50,2602,8
43782,3,65,108,49,1112,16
6683,14,824,3367,712,19611,112
43683,4,61,160,33,1119,28
43642,36,351,178,283,6664,68
43799,14,235,91,206,2313,29
8716,27,612,3235,448,5006,164
2158,16,1046,3522,665,7205,381
37058,6,67,1746,58,3569,9
39855,8,171,1567,163,4894,8
42252,27,522,1161,417,5994,105
43666,13,276,166,191,2152,85
37072,178,3199,1746,2794,18560,405
41615,406,6972,1386,6029,41795,943
