Mod,likes,downloads,time,unique_dl,views,dl_dif
27009,16,688,1100,425,15740,263
51684,0,21,630,16,2819,5
1090,46,1987,1461,1372,68879,615
19363,54,1378,1245,981,30011,397
57357,48,386,456,303,8046,83
59536,4,53,387,39,6100,14
50734,367,6856,656,5135,25636,1721
13692,1329,35265,1337,21889,183835,13376
5261,113,1406,1418,974,15085,432
24359,1534,14785,1158,10007,98101,4778
951,631,19100,1462,12420,81344,6680
1451,337,20172,1458,12135,94561,8037
17250,1318,33608,1283,24457,208238,9151
67734,60,903,134,765,9040,138
23739,41,1402,1172,947,23001,455
1512,147,5931,1458,4104,77290,1827
27189,1153,19007,1097,14346,101412,4661
20580,8,547,1224,376,37351,171
59183,450,6999,400,5588,61800,1411
61544,38,349,316,262,7994,87
19278,56,1225,1247,845,11490,380
37334,231,3207,887,2089,45738,1118
12567,143,2666,1352,1508,11660,1158
6373,68,912,1406,664,14745,248
56639,10967,222840,476,171225,630697,51615
61372,16,296,321,200,10983,96
28015,86,6584,1078,3957,26900,2627
33423,56,1472,981,1090,26339,382
17165,142,3455,1285,2497,50293,958
28852,68,3762,1063,2020,14289,1742
1532,12,335,1458,238,19081,97
20335,309,8343,1228,5558,45981,2785
5748,72,1736,1413,1289,19787,447
14343,330,7851,1327,5901,133926,1950
6910,13,201,1399,138,5619,63
67878,16,291,129,243,5181,48
55834,84,727,500,604,15742,123
10199,6,164,1373,102,7029,62
27946,23,595,1080,358,9134,237
5976,74,1978,1410,1307,10382,671
38399,54,813,859,717,15224,96
9678,6,233,1377,151,14427,82
49270,145,2868,694,2308,29056,560
6749,497,15208,1400,9657,141883,5551
67305,479,4608,147,3697,28904,911
8643,4,53,1381,36,14070,17
55854,8,154,499,101,7125,53
34573,62,1285,958,898,25239,387
12380,14,2004,1355,779,27641,1225
19522,85,2920,1243,2041,66323,879
64703,113,2204,224,1636,9272,568
55094,90,1391,520,1070,14003,321
48341,28,2375,722,1656,8597,719
64090,0,19,242,14,1312,5
20529,5,204,1225,138,4142,66
22555,105,1785,1193,1100,15415,685
27461,7,138,1091,81,4999,57
28641,10,734,1067,438,9933,296
46410,544,10766,748,7990,81455,2776
64209,4,43,238,29,2976,14
21319,13,5252,1211,4191,32104,1061
37056,6,396,895,263,8571,133
33710,23,695,975,468,16715,227
13167,29,489,1344,256,9011,233
27108,337,13904,1098,8609,141164,5295
57196,68,1089,461,677,15800,412
16940,39,1953,1289,1446,17581,507
1660,3,175,1457,135,9335,40
30410,2,37,1032,30,4137,7
61649,32,924,313,655,16580,269
65429,0,14,204,9,1521,5
392,57,1257,1466,942,14241,315
32339,1072,32009,1001,21279,174673,10730
3583,680,18599,1440,13166,52772,5433
41239,9,184,815,147,2339,37
45559,197,2744,757,2401,31475,343
8011,13,848,1384,503,23482,345
35236,90,1289,941,884,12879,405
10958,1302,38614,1368,24466,174222,14148
11029,86,3621,1367,1990,16936,1631
24207,73,3903,1162,2630,40473,1273
56872,1,38,469,38,4126,0
19950,3,121,1235,92,12131,29
31855,9,375,1008,230,10202,145
31023,150,2209,1020,1466,42857,743
17861,168,3150,1272,2225,49389,925
23545,20,556,1176,405,9115,151
37337,12,420,887,327,13232,93
21122,185,2739,1214,1949,34184,790
22952,938,22814,1185,14719,58935,8095
41550,357,9270,810,8056,86821,1214
55201,22,255,517,209,7003,46
31603,109,1479,1012,988,18471,491
69020,0,10,91,8,781,2
62856,1800,36396,276,28566,192529,7830
10093,1685,40381,1374,24888,182138,15493
39397,63,657,843,498,7873,159
32932,29,1087,990,763,11517,324
56265,29,294,487,241,7637,53
36553,41,1895,906,1587,35041,308
64398,83,884,231,697,8212,187
6467,48,1673,1404,1064,54708,609
38538,1,23,855,14,1666,9
59919,13,149,374,119,9373,30
19034,254,4836,1251,3638,37411,1198
35146,43,934,943,646,24717,288
64146,2,39,240,27,8322,12
