Mod,likes,downloads,time,unique_dl,views
3856,19,358,3468,271,8497
3111,36,4091,3483,3020,29449
949,12,272,3830,234,4323
22933,3,266,2430,219,5047
8958,743,35013,3198,25318,152942
5386,6,195,3402,160,4873
32717,5,176,1946,159,4704
42530,48,1131,1190,883,19023
39041,16,407,1592,345,6414
13841,2020,72929,2912,46347,238795
4594,118,2387,3442,1854,44061
31595,119,2475,2000,1842,14226
24468,5,266,2359,217,3146
8703,10,143,3213,121,2557
36852,308,13238,1735,10012,93241
11161,15,372,3078,272,13727
9937,217,12980,3143,9342,42449
32460,7,204,1957,174,3589
28134,78,3906,2181,2752,22215
8519,4,81,3224,64,2479
19829,4,240,2600,209,2629
46113,7,165,176,134,2111
8221,21,624,3245,516,12425
31874,0,138,1986,116,2948
28353,2,287,2168,231,10477
17574,3,218,2702,156,4437
14355,14,491,2873,359,10186
25252,1,46,2324,37,2216
39974,21,610,1534,474,11771
35397,220,5709,1830,4296,54915
21303,3,146,2517,98,2505
39872,163,3319,1542,2755,35705
7844,23,781,3277,593,34510
1944,31,859,3503,668,27835
14437,38,2010,2868,1572,25061
2751,53,1493,3489,1187,19985
13343,2,70,2950,60,4694
24182,13,291,2372,220,7035
36652,35,605,1748,478,7748
1947,347,21825,3503,14741,73178
39115,95,2165,1587,1590,17795
2623,99,3173,3491,2488,40521
15357,106,2160,2812,1584,14816
33368,19,425,1920,338,5128
6066,56,1297,3369,1064,9976
25309,853,52721,2322,35278,130767
40303,0,30,1514,26,3099
13587,44,2091,2931,1543,15504
31718,0,30,1993,13,2346
27760,7,161,2202,138,3856
29363,3,257,2113,203,3974
3728,14,571,3471,483,7238
18113,51,3938,2678,3081,21105
21322,0,382,2516,322,2473
2663,3,81,3491,64,2343
4173,0,8,3457,7,1535
27724,142,10517,2204,6983,58350
34425,2,83,1882,66,1988
26825,4,218,2252,184,3336
11563,2,74,3058,58,1581
27805,62,2923,2198,2069,49409
27923,16,573,2192,461,10284
13180,25,1591,2961,1205,24167
9080,284,9417,3191,7023,37504
18269,25,1634,2671,1231,12580
9256,48,1989,3181,1551,14351
35408,32,857,1830,699,13951
