Mod,likes,downloads,time,unique_dl,views,dl_dif
61878,112,1041,438,809,14623,232
2685,57,2294,1581,1184,57590,1110
13048,3,132,1479,74,3943,58
5362,38,2487,1550,1133,16614,1354
44614,25,368,901,310,6106,58
7664,537,33754,1521,17953,211555,15801
59009,97,3153,538,1822,16538,1331
37782,318,3851,1008,2410,37671,1441
35002,4965,151420,1080,63578,782131,87842
54364,345,3214,679,2624,14438,590
39404,719,7477,976,5437,93877,2040
23513,28,1163,1309,629,17173,534
55136,16,211,652,199,6843,12
50395,189,2639,797,2219,37751,420
32181,247,5486,1136,3760,37118,1726
40502,58,1096,960,789,13290,307
5908,13,1051,1544,335,17493,716
3245,130,1609,1576,1063,17759,546
13564,2,258,1471,124,6458,134
5169,284,17452,1553,7369,78737,10083
22486,403,9083,1327,5661,61753,3422
22686,40,1188,1323,898,25625,290
26251,19,1179,1251,682,11752,497
53574,54,653,705,431,12349,222
26245,61,764,1251,566,9996,198
57214,8,107,594,86,7890,21
56087,92,746,625,711,6824,35
5812,609,30737,1545,19189,94217,11548
48855,798,14086,840,8230,72038,5856
29464,87,3458,1184,1935,29595,1523
64106,0,12806,374,10615,61577,2191
37075,43,1102,1028,888,21834,214
39061,40,1040,979,773,22381,267
25521,100,1875,1267,1237,25186,638
9971,90,1990,1508,1195,26052,795
28103,308,5971,1210,4890,57450,1081
24130,43,724,1297,536,10535,188
3191,16,1217,1576,622,25364,595
13082,1769,64688,1478,39340,335020,25348
63589,21,483,391,409,9286,74
65094,9,323,344,235,4400,88
8260,4,202,1516,139,14980,63
2345,124,2999,1584,2406,53935,593
24943,142,4046,1278,2180,45767,1866
63259,68,884,399,769,15866,115
34429,87,1814,1094,961,9049,853
41354,30,372,946,289,8753,83
7203,85,2135,1527,1412,50208,723
1654,150,4002,1590,3001,25328,1001
51123,49,788,778,678,14574,110
31499,784,11675,1146,7051,87709,4624
64124,28,552,372,476,7031,76
29147,22,475,1190,341,11500,134
19687,10,164,1373,145,17978,19
27520,68,1693,1222,958,18587,735
41376,8848,277164,946,117243,946364,159921
24490,30,1161,1289,721,11370,440
62502,8,101,418,92,3549,9
3543,120,6186,1573,2992,34260,3194
63624,5,181,385,117,9067,64
26343,97,2247,1248,1236,20699,1011
38393,739,26811,992,8461,118256,18350
49256,142,1215,827,1019,20046,196
51803,18,515,759,383,10018,132
17834,55,1852,1405,1071,14383,781
16748,43,875,1425,651,18238,224
68916,46,351,227,300,3376,51
20795,35,278,1354,248,12774,30
1007,41,1524,1594,1146,27470,378
8821,4,280,1513,184,9243,96
15467,359,8600,1445,5880,55199,2720
37401,0,32,1018,29,4822,3
4646,418,20009,1560,11715,76485,8294
30286,14,278,1168,186,6354,92
48193,117,1269,858,1030,17131,239
30474,4,211,1164,188,12226,23
2224,1860,60498,1585,39051,273672,21447
18358,40,1585,1396,1177,10857,408
58706,58,1188,547,957,32111,231
2584,52,1317,1582,820,20079,497
35348,19,444,1071,289,9072,155
21051,6,190,1349,116,9656,74
62880,47,780,409,564,10548,216
50736,54,791,789,569,21353,222
7386,189,3352,1525,2371,23539,981
54401,97,702,677,619,11899,83
54881,27,261,659,189,7451,72
24170,66,2288,1296,1373,74083,915
50760,76,855,789,769,9570,86
52367,62,439,742,365,9440,74
22214,173,2780,1331,1700,36068,1080
56033,9,281,627,175,6450,106
34583,4246,119418,1091,84500,456280,34918
32514,4,171,1130,141,8676,30
3559,3,163,1573,121,18429,42
50079,39,663,805,509,13572,154
43099,19,420,918,372,11788,48
13463,21,1043,1473,522,10550,521
35444,18,284,1069,190,4052,94
11128,1684,76189,1499,45297,191955,30892
27345,216,2223,1226,1554,24426,669
8294,5,155,1516,98,10977,57
30920,26,1031,1155,578,10738,453
22823,101,2150,1321,1314,14401,836
54842,7,61,660,44,5200,17
26692,17,776,1240,473,11775,303
49103,35,701,832,564,17978,137
50401,73,1042,797,779,9625,263
49816,70,940,812,681,18178,259
7312,5,285,1526,197,12433,88
866,3461,130597,1595,87752,349380,42845
60852,142,1448,472,1204,19509,244
28494,226,4487,1203,3098,68786,1389
55607,2203,23292,639,20859,123754,2433
59464,249,2918,523,2718,33196,200
57953,219,2715,573,1910,38036,805
55707,684,8764,636,8267,68443,497
37092,5,124,1027,107,5175,17
62329,24,159,423,136,6760,23
26599,259,3937,1242,2597,39374,1340
12964,77,2044,1480,858,24245,1186
38116,55,575,999,372,6318,203
55355,85,646,645,586,10350,60
8683,1315,36928,1514,25237,201746,11691
25832,3950,169903,1260,62189,652425,107714
30525,176,6275,1162,3295,24831,2980
28686,494,7994,1199,4550,31507,3444
31652,3,88,1144,57,3018,31
27318,40,609,1227,401,15207,208
65923,47,391,324,355,12981,36
19063,309,4743,1384,3223,27218,1520
21829,83,1668,1336,1102,30809,566
50840,202,3056,786,1898,47497,1158
46265,51,1035,882,817,15269,218
19265,259,5742,1380,4134,44582,1608
59629,49,568,517,365,15343,203
56049,1255,18485,626,12094,129252,6391
50758,118,2011,789,1078,12996,933
57722,29,382,580,276,3518,106
49482,645,8372,820,7976,88006,396
23115,283,4999,1316,2762,45218,2237
61534,27,325,450,254,6852,71
14752,264,4983,1455,3639,32518,1344
23547,161,2770,1309,1895,27805,875
29402,28,1048,1185,640,11111,408
4636,301,6206,1560,3984,24386,2222
33292,31793,750360,1116,386995,2327934,363365
4866,1735,35124,1557,19798,198147,15326
64154,269,4692,372,3079,34870,1613
18484,45,1887,1394,1322,16306,565
7001,256,7946,1530,5399,45246,2547
33541,6,243,1112,107,5064,136
50643,101,1446,791,1226,25594,220
18625,46,4564,1391,2610,52830,1954
2192,129,3785,1585,2699,20995,1086
39925,139,2937,969,2279,32010,658
56894,2006,22730,602,11783,459034,10947
53882,81,1276,695,665,24597,611
41964,44,471,936,371,9895,100
11584,20,1196,1496,687,14338,509
63399,10,96,395,94,7312,2
27591,36,760,1220,426,7475,334
29998,9,363,1173,253,11149,110
50752,387,5621,789,4443,62774,1178
62721,42,384,412,333,8023,51
57988,166,2337,572,1940,62803,397
8535,2919,97533,1515,46927,391121,50606
33884,95,2243,1105,1240,17099,1003
66642,31,422,303,373,10085,49
30357,29,715,1166,491,9379,224
7866,85,954,1518,660,11739,294
41549,257,5574,943,2926,51342,2648
32957,31,511,1122,346,5214,165
9904,2535,95779,1508,48450,518223,47329
19291,1305,39561,1380,26553,259543,13008
38304,4,101,995,74,2715,27
