Mod,likes,downloads,time,unique_dl,views,dl_dif
431,5,349,2255,272,13965,77
488,7,721,2246,618,25086,103
34,92,532,2291,348,132923,184
690,128,8388,2216,6301,81223,2087
4062,22,208,730,158,9832,50
3384,522,7001,1448,4967,72226,2034
1102,166,5725,2137,3910,51314,1815
791,104,4405,2192,3159,49834,1246
3822,16,515,949,330,14452,185
421,43,2286,2255,1634,36726,652
1358,27,354,2082,251,12789,103
222,253,2233,2277,1805,173099,428
3658,39,576,1145,492,15489,84
208,47,340,2278,229,27690,111
160,1,65,2284,38,27581,27
88,27,549,2288,356,70346,193
960,111,4684,2158,3440,30640,1244
3659,21,420,1142,315,18754,105
4312,17,123,353,84,10402,39
4247,142,1807,451,1244,13275,563
2110,385,6601,1830,5183,60695,1418
3881,59,992,903,754,22600,238
45,28,565,2291,293,84060,272
4264,12,255,415,165,7362,90
1544,376,6336,2033,4444,25917,1892
351,250,3794,2262,3083,179142,711
2138,213,5331,1814,3326,39047,2005
4111,41,260,659,182,5257,78
4165,61,690,582,542,13869,148
728,517,10823,2210,6817,83842,4006
3670,26,420,1131,314,7756,106
191,16,182,2280,134,34343,48
1898,16,779,1928,492,24950,287
920,1316,39399,2163,24627,231381,14772
1371,24,825,2076,598,36351,227
555,2824,157794,2235,98725,650170,59069
3759,6,144,1020,80,5829,64
4236,169,1561,477,1105,12938,456
954,211,4240,2159,2945,32335,1295
182,44,732,2281,513,104594,219
510,544,22028,2243,15253,79416,6775
3402,58,1055,1431,776,32942,279
268,157,2111,2272,1404,51684,707
2372,9,401,1802,267,21919,134
260,7,42,2272,28,11325,14
1675,107,3621,1991,2500,45529,1121
1037,17,550,2148,362,14992,188
4322,120,1987,290,1545,23394,442
4360,4,41,180,23,2134,18
3790,861,19005,984,13177,145267,5828
2570,21,409,1788,289,14857,120
1221,60,2116,2113,1475,27790,641
1085,125,9469,2140,6992,64815,2477
1447,236,5516,2054,3760,30010,1756
3807,82,1236,970,924,16685,312
803,109,8211,2189,5758,34797,2453
1018,4254,148175,2151,97008,708812,51167
1134,966,35507,2131,22390,295088,13117
1254,770,44847,2105,30280,137917,14567
1533,2113,79608,2034,51407,432117,28201
1913,276,8659,1923,4955,85848,3704
3372,18,708,1459,492,13946,216
1597,16,931,2017,639,36621,292
1769,116,7013,1972,4643,69094,2370
58,45,471,2289,354,52252,117
371,27,160,2260,106,18722,54
3403,18,270,1428,217,12513,53
4181,174,2619,568,1730,15937,889
1091,11,394,2139,310,11866,84
1848,15,617,1949,455,17315,162
822,406,11423,2185,7510,71888,3913
3393,49,1122,1440,835,11257,287
3598,41,1052,1250,748,12707,304
316,2155,41349,2266,24852,246350,16497
502,10,283,2244,216,17471,67
3044,135,4446,1658,3101,30806,1345
4335,335,4436,239,3058,21904,1378
3773,244,3045,1015,2395,66963,650
3625,67,1787,1192,1161,21651,626
4180,26,354,570,285,14437,69
3818,277,4092,950,2585,49244,1507
3405,623,11083,1428,8079,61576,3004
1246,217,9792,2107,6477,66929,3315
1745,210,5301,1976,3574,42687,1727
332,579,12812,2265,9560,219671,3252
310,31,681,2267,409,48734,272
763,239,9581,2201,6756,60933,2825
3866,33,461,914,381,8339,80
1069,38,1168,2144,908,21718,260
390,108,1834,2258,1274,63725,560
2099,143,2521,1832,1655,33721,866
1470,58,1271,2051,863,12318,408
1169,407,18581,2125,12226,158532,6355
649,409,26315,2223,19352,169165,6963
2101,105,4996,1832,3538,26529,1458
1907,354,11541,1925,8159,109706,3382
783,161,16447,2194,12695,107172,3752
1323,39,726,2091,492,27903,234
3251,67,1694,1574,1125,22265,569
981,39,1755,2157,1368,32709,387
3835,58,795,936,674,14625,121
4341,30,445,236,329,6669,116
480,28,1854,2247,1341,22660,513
1838,1691,36869,1953,20504,130459,16365
1766,147,6036,1973,3809,78766,2227
542,70,4547,2237,3339,88366,1208
1653,32,844,1997,610,16267,234
4088,12,163,710,93,12864,70
1168,176,4129,2126,2854,39256,1275
1735,11,598,1978,455,11974,143
